,user_id,selfie_link_id_1,selfie_link_id_2,selfie_link_id_3,missing_count
0,10004,10004_00000385-0016-4568-8124-F8F005C202E4,10004_00000633-0016-8931-2007-F8F005C202E4,,1
2,10014,10014_00000825-0016-1972-0089-F8F005C1C48C,10014_00001950-0016-8866-2931-F8F005C1C48C,,1
7,10031,10031_2020-06-04 16:00:00,10031_00000093-0016-1618-0288-F8F005C20C6C,,1
35,10117,10117_00000397-0016-3728-1971-F8F005C20830,10117_00000768-0016-8454-3402-F8F005C20830,,1
48,10152,10152_2020-05-14 13:00:00,10152_2020-06-16 22:00:00,,1
49,10156,10156_2020-05-08 08:00:00,10156_2020-06-16 09:00:00,,1
80,10196,10196_2020-06-07 13:00:00,10196_2020-06-16 22:00:00,,1
144,10298,10298_2020-05-29 14:00:00,10298_2020-06-09 16:00:00,,1
157,10322,10322_2020-06-06 01:00:00,10322_2020-06-16 22:00:00,,1
168,10342,10342_2020-05-17 13:00:00,10342_2020-06-02 15:00:00,,1
181,10361,10361_2020-05-09 00:00:00,10361_2020-06-14 04:00:00,,1
183,10363,10363_2020-05-07 14:00:00,10363_2020-06-16 14:00:00,,1
225,10460,10460_2020-05-17 08:00:00,10460_2020-06-16 00:00:00,,1
233,10472,10472_2020-05-13 13:00:00,10472_2020-06-14 13:00:00,,1
241,10485,10485_2020-06-08 17:00:00,10485_2020-06-15 01:00:00,,1
256,10521,10521_2020-05-23 13:00:00,10521_2020-06-16 20:00:00,,1
260,10534,10534_2020-05-25 02:00:00,10534_2020-06-16 11:00:00,,1
272,10554,10554_2020-06-04 21:00:00,10554_2020-06-16 09:00:00,,1
294,10625,10625_2020-06-16 03:00:00,10625_2020-06-17 04:00:00,,1
316,10662,10662_2020-05-27 16:00:00,10662_2020-06-01 15:00:00,,1
321,1067,1067_00001120-0016-1259-9036-F8F00528B38D,1067_00001862-0016-6859-5632-F8F00528B38D,,1
333,10689,10689_2020-06-01 13:00:00,10689_2020-06-15 22:00:00,,1
355,10736,10736_2020-06-10 15:00:00,10736_2020-06-13 16:00:00,,1
356,10737,10737_2020-05-17 03:00:00,10737_2020-06-16 04:00:00,,1
427,10854,10854_2020-06-11 04:00:00,10854_2020-06-15 06:00:00,,1
441,10875,10875_2020-06-05 13:00:00,10875_2020-06-14 14:00:00,,1
454,10909,10909_2020-05-31 07:00:00,10909_2020-06-15 09:00:00,,1
489,10979,10979_2020-06-12 10:00:00,10979_2020-06-16 00:00:00,,1
510,11025,11025_2020-06-14 19:00:00,11025_2020-06-16 10:00:00,,1
513,11031,11031_2020-06-13 23:00:00,11031_2020-06-16 03:00:00,,1
518,11040,11040_2020-06-13 00:00:00,11040_2020-06-16 22:00:00,,1
546,11092,11092_2020-06-11 14:00:00,11092_2020-06-17 01:00:00,,1
567,11222,11222_00000189-0016-0492-8818-F8F005C206A8,11222_00000203-0016-0608-8277-F8F005C206A8,,1
569,11226,11226_00000426-0016-1323-5617-F8F005C2054D,11226_00000776-0016-8930-8052-F8F005C2054D,,1
574,11234,11234_00001041-0016-3878-9040-F8F005C205C1,11234_00001476-0016-8896-5362-F8F005C205C1,,1
578,11240,11240_00000424-0016-1180-8858-F8F005C2072F,11240_00000438-0016-1876-2356-F8F005C2072F,,1
581,11245,11245_00000305-0016-0539-3630-F8F005C1F792,11245_00000327-0016-1147-7592-F8F005C1F792,,1
588,11254,11254_00000417-0016-6177-8372-F8F005C209A8,11254_00000001-0016-6186-6665-F8F005C21C10,,1
596,11269,11269_00000111-0016-0500-9748-F8F005C1F870,11269_00000221-0016-0986-1753-F8F005C1F870,,1
616,11303,11303_00000488-0016-0872-9600-F8F005C1FA1F,11303_00000543-0016-1149-6072-F8F005C1FA1F,,1
623,11319,11319_00000438-0016-1481-4746-F8F005C1F8AF,11319_00000476-0016-2181-2375-F8F005C1F8AF,,1
642,11353,11353_00000074-0016-6109-0955-F8F005C20548,11353_00000117-0016-8787-4351-F8F005C20548,,1
643,11354,11354_00000348-0016-1227-5210-F8F005C1FA69,11354_00000356-0016-6227-6106-F8F005C1FA69,,1
671,11410,11410_00000246-0016-0995-6868-F8F005C207C5,11410_00000215-0016-7236-9710-F8F005C206F7,,1
681,11441,11441_00000171-0016-3085-4130-F8F005C208A8,11441_00000334-0016-8079-3949-F8F005C208A8,,1
733,11558,11558_00000543-0016-0814-7601-F8F005C1F9B1,11558_00000596-0016-0898-7212-F8F005C1F9B1,,1
737,11570,11570_00000172-0016-0594-4612-F8F005C1F971,11570_00001191-0016-8066-9481-F8F005C2059C,,1
739,11572,11572_00000517-0016-1309-6690-F8F005C206D3,11572_00000553-0016-1468-6534-F8F005C206D3,,1
741,11580,11580_00000580-0016-1590-9532-F8F005C20577,11580_00000583-0016-1601-9578-F8F005C20577,,1
746,11590,11590_00000356-0016-0386-7370-F8F005C20787,11590_00000403-0016-0827-3894-F8F005C20787,,1
754,11601,11601_00000274-0016-0754-8612-F8F005C1F83A,11601_00000474-0016-2199-5785-F8F005C1F83A,,1
770,11638,11638_00000499-0016-4319-6664-F8F005C206C6,11638_00000659-0016-8920-1578-F8F005C206C6,,1
827,11772,11772_00000294-0016-1887-8000-F8F005C20790,11772_00000398-0016-7948-4375-F8F005C20790,,1
837,11803,11803_00000326-0016-1383-1974-F8F005C1FB1B,11803_00000866-0016-4105-5327-F8F005C1FB1B,,1
838,11804,11804_00000408-0016-1330-3651-F8F005C1B7A6,11804_00000656-0016-4242-0634-F8F005C1B7A6,,1
842,11819,11819_00000361-0016-1572-4154-F8F005C1F6BC,11819_00000378-0016-5763-9783-F8F005C1F6BC,,1
850,11846,11846_00001123-0016-7325-8741-F8F005C20970,11846_00001323-0016-8942-9242-F8F005C20970,,1
853,11854,11854_00000355-0016-0646-9026-F8F005C2078A,11854_00000445-0016-2925-2999-F8F005C2078A,,1
860,11887,11887_00000194-0016-0572-8090-F8F005C20607,11887_00000200-0016-0624-8681-F8F005C20607,,1
878,11920,11920_00000508-0016-5279-1034-F8F00528B0C9,11920_00000564-0016-7499-8117-F8F00528B0C9,,1
897,11954,11954_00000359-0016-0710-8284-F8F005C1F868,11954_00000446-0016-1175-3538-F8F005C1F868,,1
899,11956,11956_00000169-0016-0506-6432-F8F005C1FCB4,11956_00000269-0016-1158-7074-F8F005C1FCB4,,1
940,12030,12030_00001191-0016-3829-5877-F8F005C20D47,12030_00001975-0016-8896-8343-F8F005C20D47,,1
974,12074,12074_00000292-0016-0600-6963-F8F005C1B6EE,12074_00000311-0016-0959-2220-F8F005C1B6EE,,1
989,12417,12417_00000030-0016-0873-4162-F8F005C213C5,12417_00000040-0016-0928-6802-F8F005C213C5,,1
1049,12493,12493_00000244-0016-1012-0331-F8F005C206F9,12493_00000289-0016-1779-9051-F8F005C206F9,,1
1065,12509,12509_00000198-0016-1446-4699-F8F005C1D3AC,12509_00000366-0016-2937-1456-F8F005C1D3AC,,1
1095,12544,12544_00000019-0016-0818-7756-F8F005C1CC95,12544_00000078-0016-2158-1288-F8F005C1CC95,,1
1099,12549,12549_00000018-0016-0784-4164-F8F005C20E90,12549_00000117-0016-1355-5098-F8F005C20E90,,1
1103,12553,12553_00000116-0016-2089-9724-F8F005C20F22,12553_00000117-0016-3958-5808-F8F005C20F22,,1
1125,12580,12580_00000014-0016-0762-6718-F8F005C20967,12580_00000253-0016-1623-5221-F8F005C1B607,,1
1133,12589,12589_00000195-0016-2122-7730-F8F005C1B51F,12589_00000202-0016-2183-8883-F8F005C1B51F,,1
1137,12595,12595_00000268-0016-0936-8942-F8F005C1C8C7,12595_00000449-0016-1843-1247-F8F005C1C8C7,,1
1172,12639,12639_00000093-0016-1217-0029-F8F005C1B4A8,12639_00000128-0016-1528-1221-F8F005C1B4A8,,1
1173,1264,1264_00001162-0016-0991-3431-F8F00528B2AA,1264_00001262-0016-8879-6564-F8F005C20228,,1
1191,12662,12662_00000778-0016-4625-5157-F8F00529AA1E,12662_00000846-0016-4930-9361-F8F00529AA1E,,1
1199,12671,12671_00000034-0016-1018-7599-F8F005C1A68E,12671_00000061-0016-1881-9966-F8F005C1A68E,,1
1203,12675,12675_00000080-0016-1289-9167-F8F005C1B592,12675_00000099-0016-1476-4638-F8F005C1B592,,1
1254,12737,12737_00001007-0016-5457-1187-F8F005C1A5D0,12737_00001756-0016-8961-6474-F8F005C1A5D0,,1
1259,12742,12742_00000341-0016-1872-2649-F8F005C1CB03,12742_00000428-0016-2252-0369-F8F005C1CB03,,1
1263,12748,12748_00000495-0016-1912-3712-F8F005C20B18,12748_00000545-0016-2915-0588-F8F005C20B18,,1
1293,12782,12782_00000031-0016-0919-5154-F8F005C20F84,12782_00000093-0016-1310-2395-F8F005C20F84,,1
1309,12800,12800_00001641-0016-8802-1065-F8F005C1B716,12800_00001646-0016-8932-0188-F8F005C1B716,,1
1337,12831,12831_00000254-0016-1993-9371-F8F005C1B464,12831_00000273-0016-2184-2740-F8F005C1B464,,1
1384,12887,12887_00000019-0016-0897-2968-F8F005C1CA9D,12887_00000131-0016-1433-0932-F8F005C1CA9D,,1
1414,12922,12922_00000679-0016-7837-1110-F8F005C21355,12922_00000719-0016-8275-0069-F8F005C21355,,1
1419,12927,12927_00000194-0016-2119-0772-F8F005C2026B,12927_00000309-0016-6136-7491-F8F005C2026B,,1
1500,13024,13024_00000499-0016-0758-8729-F8F005C21379,13024_00000699-0016-2134-3928-F8F005C21379,,1
1509,13033,13033_00000178-0016-1476-1157-F8F005C1A26B,13033_00000337-0016-2222-1320-F8F005C1A26B,,1
1511,13037,13037_00000422-0016-2923-2725-F8F005C1B8B1,13037_00000390-0016-6037-2111-F8F005C21004,,1
1526,13055,13055_00000084-0016-1333-8096-F8F005C210E0,13055_00000168-0016-2148-5045-F8F005C210E0,,1
1548,13081,13081_00000118-0016-1238-8831-F8F005C1B8C1,13081_00000268-0016-2041-9363-F8F005C1B8C1,,1
1549,13082,13082_00000367-0016-0763-1602-F8F005C21181,13082_00000042-0016-8924-8203-F8F005C1CB87,,1
1589,13129,13129_00000057-0016-1013-5503-F8F005C210DE,13129_00000186-0016-2024-2236-F8F005C210DE,,1
1591,13131,13131_00000167-0016-1429-5916-F8F005C210CD,13131_00000317-0016-2089-5523-F8F005C210CD,,1
1602,13143,13143_00000246-0016-1786-2507-F8F005C21255,13143_00000590-0016-3362-1757-F8F005C21255,,1
1656,13203,13203_00000136-0016-1287-7773-F8F005C20FAA,13203_00000798-0016-8950-3684-F8F00529AA3E,,1
1669,13218,13218_00000031-0016-0866-4760-F8F005C213E5,13218_00000155-0016-1531-8864-F8F005C213E5,,1
1729,13286,13286_00000294-0016-4029-7085-F8F005C1F699,13286_00000388-0016-4978-9149-F8F005C1F699,,1
1755,13313,13313_00000113-0016-1014-4838-F8F005C1F690,13313_00000156-0016-1527-9175-F8F005C1F690,,1
1763,13326,13326_00000156-0016-1419-8724-F8F005C1F653,13326_00000425-0016-3821-9429-F8F005C1F653,,1
1770,13337,13337_00000019-0016-1042-6566-F8F005C1D70A,13337_00000055-0016-1958-0596-F8F005C1D70A,,1
1774,13341,13341_00000053-0016-1037-4318-F8F005C20334,13341_00000059-0016-1065-0529-F8F005C20334,,1
1775,13342,13342_00000236-0016-1886-2233-F8F005C1FCFA,13342_00000278-0016-2123-0680-F8F005C1FCFA,,1
1797,13374,13374_00000044-0016-1773-5349-F8F005C1D7F2,13374_00000148-0016-4486-5931-F8F005C1D7F2,,1
1815,13392,13392_00000033-0016-0976-0815-F8F005C21407,13392_00000034-0016-0979-1228-F8F005C21407,,1
1861,13452,13452_00002205-0016-8772-7731-F8F005C21484,13452_00002245-0016-8958-6103-F8F005C21484,,1
1964,13577,13577_00000478-0016-2848-3857-F8F005C1FED8,13577_00000755-0016-4568-1021-F8F005C1FED8,,1
1967,13580,13580_00000195-0016-0867-1930-F8F005C202DA,13580_00000219-0016-0988-1136-F8F005C202DA,,1
1970,13583,13583_00000005-0016-0761-5313-F8F005C1B871,13583_00000028-0016-0996-9617-F8F005C1B871,,1
2058,13687,13687_00000211-0016-0767-0567-F8F005C20EE5,13687_00000271-0016-1541-0611-F8F005C20EE5,,1
2082,13717,13717_00000375-0016-8314-4013-F8F005C20CCA,13717_00000425-0016-8940-1048-F8F005C20CCA,,1
2127,13775,13775_00000271-0016-1894-1204-F8F005C1D7E8,13775_00000355-0016-2252-6044-F8F005C1D7E8,,1
2147,13802,13802_00000005-0016-0760-2869-F8F005C1B7AC,13802_00000034-0016-1091-0440-F8F005C1B7AC,,1
2149,13805,13805_00000970-0016-7480-9787-F8F005C1FA87,13805_00001192-0016-8928-2884-F8F005C1FA87,,1
2150,13806,13806_00000001-0016-0735-7670-F8F005C1F9CA,13806_00000230-0016-1877-5216-F8F005C1F9CA,,1
2151,13807,13807_00000123-0016-1362-4333-F8F005C1B5A6,13807_00000282-0016-2249-1473-F8F005C1B5A6,,1
2228,1390,1390_2020-05-22 07:00:00,1390_2020-05-29 21:00:00,,1
2233,13904,13904_00000353-0016-2098-9862-F8F005C205EA,13904_00000356-0016-2115-7078-F8F005C205EA,,1
2274,13954,13954_00000097-0016-1277-9770-F8F005C21237,13954_00000119-0016-1492-4781-F8F005C21237,,1
2277,13957,13957_00000192-0016-2062-3823-F8F005C20F7F,13957_00000438-0016-6166-0414-F8F005C20F7F,,1
2278,13958,13958_00000049-0016-1017-8848-F8F005C20ECD,13958_00000053-0016-1039-7735-F8F005C20ECD,,1
2286,13970,13970_00000009-0016-0767-8116-F8F005C1CAEE,13970_00000021-0016-0810-6075-F8F005C1CAEE,,1
2354,14052,14052_00000338-0016-2244-7207-F8F005C1B56A,14052_00000340-0016-2252-3804-F8F005C1B56A,,1
2372,14072,14072_00000312-0016-1017-7831-F8F005C1CB25,14072_00000425-0016-2141-9898-F8F005C1CB25,,1
2424,14146,14146_00000268-0016-1902-9258-F8F005C20948,14146_00000349-0016-2257-4358-F8F005C20948,,1
2440,14165,14165_00000505-0016-4107-2150-F8F005C1CABE,14165_00000908-0016-8930-8163-F8F005C1CABE,,1
2442,14167,14167_00000567-0016-1501-4760-F8F005C1F80F,14167_00000814-0016-2926-2064-F8F005C1F80F,,1
2445,14170,14170_00000032-0016-0936-3784-F8F005C202D4,14170_00000094-0016-1214-9443-F8F005C202D4,,1
2448,14174,14174_00000183-0016-1840-5046-F8F005C212C2,14174_00000184-0016-1847-7331-F8F005C212C2,,1
2454,14181,14181_00000090-0016-1144-9150-F8F005C1FC13,14181_00000289-0016-2106-9715-F8F005C1FC13,,1
2455,14182,14182_00000448-0016-0931-4190-F8F005C20BAD,14182_00000550-0016-1916-0839-F8F005C20BAD,,1
2465,14199,14199_00000327-0016-2188-9215-F8F005C1B908,14199_00000342-0016-2252-8834-F8F005C1B908,,1
2466,14200,14200_00000899-0016-4594-3531-F8F005C1F698,14200_00001021-0016-5734-8691-F8F005C1F698,,1
2469,14204,14204_00000097-0016-1431-8364-F8F005C1CB1F,14204_00000100-0016-1527-2450-F8F005C1CB1F,,1
2476,14216,14216_00000245-0016-0790-0452-F8F005C1F746,14216_00000342-0016-1502-6771-F8F005C1F746,,1
2483,14226,14226_00000654-0016-3713-4242-F8F005C2036B,14226_00000813-0016-4553-1995-F8F005C2036B,,1
2489,14235,14235_00000050-0016-0997-6021-F8F005C1A544,14235_00000356-0016-3035-7561-F8F005C1A544,,1
2497,14245,14245_00000211-0016-0923-3167-F8F005C1FC57,14245_00000505-0016-6643-1344-F8F005C1FC57,,1
2499,14249,14249_00000112-0016-1364-5949-F8F005C20288,14249_00000119-0016-1528-3738-F8F005C20288,,1
2504,14256,14256_00000013-0016-0824-9476-F8F005C20224,14256_00000170-0016-1518-3152-F8F005C20224,,1
2508,14260,14260_00000030-0016-0928-3866-F8F005C20361,14260_00000323-0016-8928-1657-F8F005C20361,,1
2510,14262,14262_00000050-0016-1022-9365-F8F005C1C56C,14262_00000120-0016-1518-1910-F8F005C1C56C,,1
2525,14283,14283_00000059-0016-1198-9013-F8F005C1ED6E,14283_00000068-0016-1241-6109-F8F005C1ED6E,,1
2528,14287,14287_00000183-0016-0780-0524-F8F005C1C9A9,14287_00000308-0016-1359-4425-F8F005C1C9A9,,1
2537,14296,14296_00000292-0016-1978-7364-F8F005C2114E,14296_00000318-0016-2222-8465-F8F005C2114E,,1
2542,14302,14302_00000101-0016-1024-0163-F8F005C1F5C5,14302_00000240-0016-2137-9038-F8F005C1F5C5,,1
2545,14305,14305_00000424-0016-2824-1642-F8F005C20B70,14305_00001359-0016-8929-1201-F8F005C20B70,,1
2547,14307,14307_00000250-0016-3639-6201-F8F005C2033D,14307_00000533-0016-8797-3499-F8F005C2033D,,1
2579,14353,14353_00000012-0016-1017-8849-F8F005C1F599,14353_00000017-0016-1320-6192-F8F005C1F599,,1
2587,14360,14360_00000125-0016-1021-0356-F8F005C1B651,14360_00000409-0016-2261-5685-F8F005C1B651,,1
2589,14364,14364_00000054-0016-1168-8606-F8F005C1FFEA,14364_00000165-0016-2243-7238-F8F005C1FFEA,,1
2606,14387,14387_00000264-0016-2148-8438-F8F005C1FE9D,14387_00001062-0016-8923-1157-F8F005C1FE9D,,1
2608,14390,14390_00000050-0016-1199-0449-F8F005C20EF0,14390_00000196-0016-2217-2967-F8F005C20EF0,,1
2610,14393,14393_00000557-0016-3860-5166-F8F005C209F1,14393_00001126-0016-8919-0014-F8F005C209F1,,1
2633,14425,14425_00000009-0016-0872-8306-F8F005C20CDC,14425_00000274-0016-2243-3607-F8F005C20CDC,,1
2635,14427,14427_00000147-0016-1431-6410-F8F005C2127B,14427_00000343-0016-2243-3543-F8F005C2127B,,1
2640,14434,14434_00000093-0016-1394-1749-F8F00529C21D,14434_00000429-0016-3064-5281-F8F00529C21D,,1
2645,14445,14445_00000242-0016-2140-2707-F8F005C1FEC1,14445_00000991-0016-8867-6302-F8F005C1FEC1,,1
2646,14446,14446_00000126-0016-1480-3685-F8F005C1FF35,14446_00000359-0016-5795-5429-F8F005C1FF35,,1
2710,14539,14539_00001478-0016-6415-8381-F8F005C20507,14539_00002062-0016-8955-4314-F8F005C20507,,1
2712,14548,14548_00000268-0016-0887-8029-F8F005C2021E,14548_00000279-0016-0928-4486-F8F005C2021E,,1
2725,14566,14566_00000453-0016-3078-9460-F8F005C2147E,14566_00000529-0016-4244-9658-F8F005C2147E,,1
2747,14599,14599_00000934-0016-5085-8769-F8F005C20DFE,14599_00001800-0016-8962-5157-F8F005C20DFE,,1
2751,14604,14604_00000066-0016-0984-0741-F8F005C1B7BD,14604_00000311-0016-2215-4250-F8F005C1B7BD,,1
2756,14612,14612_00000304-0016-1303-7364-F8F005C1B7EA,14612_00001348-0016-8923-2738-F8F005C1B7EA,,1
2757,14617,14617_00000167-0016-1325-8596-F8F005C1C7D5,14617_00000351-0016-2223-3443-F8F005C1C7D5,,1
2900,14807,14807_00000161-0016-1175-6526-F8F005C1C443,14807_00000235-0016-1490-1667-F8F005C1C443,,1
2913,14823,14823_00000195-0016-2242-3754-F8F005C1D83D,14823_00000198-0016-2253-9204-F8F005C1D83D,,1
2924,14835,14835_00000296-0016-1935-9157-F8F005C1D837,14835_00000297-0016-1939-6492-F8F005C1D837,,1
2990,14908,14908_00001237-0016-4384-4286-F8F005C207D4,14908_00002195-0016-8623-6572-F8F005C207D4,,1
3048,14975,14975_00000395-0016-1193-0508-F8F005C1B41A,14975_00000549-0016-1878-5698-F8F005C1B41A,,1
3052,14981,14981_00000072-0016-1192-5677-F8F005C1F66D,14981_00000318-0016-2255-6371-F8F005C1F66D,,1
3055,14987,14987_00000034-0016-1165-2424-F8F005C2071B,14987_00000312-0016-2242-6139-F8F005C2071B,,1
3112,15070,15070_00000042-0016-1199-3646-F8F005C20FF8,15070_00000283-0016-2255-2101-F8F005C20FF8,,1
3172,15147,15147_00000326-0016-1066-0479-F8F005C1E19C,15147_00000353-0016-1176-3354-F8F005C1E19C,,1
3187,15170,15170_00000576-0016-1999-0450-F8F005C1FF44,15170_00000635-0016-2253-9071-F8F005C1FF44,,1
3236,15227,15227_00000076-0016-1408-8682-F8F005C1B923,15227_00000258-0016-2264-4054-F8F005C1B923,,1
3271,15272,15272_00000145-0016-1218-8625-F8F005C1FE09,15272_00000390-0016-2255-0538-F8F005C1FE09,,1
3274,15275,15275_00000215-0016-1831-4501-F8F005C1A557,15275_00000322-0016-2258-6554-F8F005C1A557,,1
3275,15276,15276_00000215-0016-2040-6951-F8F005C1B84F,15276_00000252-0016-2222-2426-F8F005C1B84F,,1
3327,15342,15342_00000089-0016-1460-1603-F8F005C1FE8F,15342_00000271-0016-2255-1715-F8F005C1FE8F,,1
3371,15399,15399_00000083-0016-1407-6167-F8F005C1C3C9,15399_00000270-0016-2259-3019-F8F005C1C3C9,,1
3387,15416,15416_00000071-0016-1369-6616-F8F005C1D774,15416_00000247-0016-2117-3207-F8F005C1D774,,1
3401,15433,15433_00000474-0016-2172-7065-F8F005C1C4EB,15433_00000492-0016-2255-0282-F8F005C1C4EB,,1
3413,15453,15453_00000150-0016-1330-4184-F8F005C1C3C1,15453_00000339-0016-2169-3525-F8F005C1C3C1,,1
3476,1553,1553_2020-05-17 10:00:00,1553_2020-06-14 21:00:00,,1
3479,15533,15533_00000261-0016-1524-6540-F8F005C1C71B,15533_00000415-0016-2258-6684-F8F005C1C71B,,1
3482,15537,15537_00000347-0016-2238-5210-F8F005C20CFD,15537_00000352-0016-2259-0125-F8F005C20CFD,,1
3641,15741,15741_00000109-0016-1478-5035-F8F005C1C3BD,15741_00000120-0016-1524-7166-F8F005C1C3BD,,1
3648,15753,15753_00000065-0016-1362-3363-F8F005C1F59D,15753_00000103-0016-1509-2799-F8F005C1F59D,,1
3673,15785,15785_00000504-0016-2130-6199-F8F005C1FAFE,15785_00000744-0016-7400-5681-F8F005C1FAFE,,1
3680,15798,15798_00000101-0016-7405-1234-F8F005C200E3,15798_00000174-0016-8916-9925-F8F005C200E3,,1
3695,15825,15825_00000715-0016-1853-3464-F8F005C1F92F,15825_00000831-0016-3578-0677-F8F005C1F92F,,1
3701,15836,15836_00000317-0016-2186-8851-F8F005C1FDDF,15836_00000336-0016-2263-9473-F8F005C1FDDF,,1
3711,15848,15848_00000473-0016-1826-7015-F8F005C1B436,15848_00000575-0016-2263-6144-F8F005C1B436,,1
3717,15854,15854_00000309-0016-1305-4957-F8F005C1F560,15854_00000531-0016-2260-1057-F8F005C1F560,,1
3721,15858,15858_00000442-0016-1809-2501-F8F005C1C6E2,15858_00000542-0016-2255-7278-F8F005C1C6E2,,1
3783,15941,15941_00000241-0016-1815-5950-F8F005C20CA9,15941_00000438-0016-2264-4904-F8F005C20CA9,,1
3818,15985,15985_00000593-0016-1516-5766-F8F005C1F7FB,15985_00001139-0016-6428-8336-F8F005C1F7FB,,1
3829,16002,16002_00000167-0016-1374-6363-F8F005C1F846,16002_00000243-0016-2212-5168-F8F005C1F846,,1
3885,16070,16070_00000613-0016-1872-0555-F8F005C207D8,16070_00000643-0016-2039-3500-F8F005C207D8,,1
3886,16071,16071_00000679-0016-1456-7929-F8F005C1FAF3,16071_00000263-0016-8626-5189-F8F005C39ED4,,1
3960,16189,16189_00000002-0016-1276-6127-F8F005C1FC31,16189_00000030-0016-1501-3538-F8F005C1FC31,,1
3962,16192,16192_00000259-0016-1275-8816-F8F005C1F9C5,16192_00000331-0016-1983-6006-F8F005C1F9C5,,1
