,user_id,selfie_link_id_1,selfie_link_id_2,selfie_link_id_3,missing_count
3963,16193,16193_00001197-0016-7314-3833-F8F005C1F9E4,16193_00001482-0016-8963-6441-F8F005C1F9E4,,1
3974,16208,16208_00000039-0016-2030-7047-F8F005C1FDDB,16208_00000070-0016-3107-6597-F8F005C1FDDB,,1
3987,16228,16228_00000690-0016-8004-7473-F8F005C2041D,16228_00000761-0016-8852-0335-F8F005C2041D,,1
3989,16236,16236_00000011-0016-1871-6810-F8F00528AB5F,16236_00000064-0016-4749-5349-F8F00528AB5F,,1
3994,16248,16248_00000106-0016-1546-8714-F8F005C1C889,16248_00000254-0016-2195-5911-F8F005C1C889,,1
4016,16309,16309_00000306-0016-2136-8460-F8F005C1A4A4,16309_00000314-0016-2175-9572-F8F005C1A4A4,,1
4029,16353,16353_00001392-0016-6005-8349-F8F005C1FC2F,16353_00001793-0016-8173-4246-F8F005C1FC2F,,1
4063,16427,16427_00000705-0016-3997-6218-F8F005C1C3D5,16427_00000760-0016-4317-6845-F8F005C1C3D5,,1
4065,16430,16430_00000954-0016-3000-3216-F8F005C1CA67,16430_00001034-0016-3748-3695-F8F005C1CA67,,1
4122,16542,16542_00000269-0016-3059-2622-F8F005C1FE0F,16542_00000365-0016-4554-8104-F8F005C1FE0F,,1
4134,16559,16559_00000393-0016-3741-1882-F8F005C2026C,16559_00001017-0016-8949-5061-F8F005C2026C,,1
4190,16627,16627_00000274-0016-3398-6291-F8F005C20B3B,16627_00000331-0016-3764-5224-F8F005C20B3B,,1
4204,16645,16645_00000225-0016-2874-8678-F8F005C1F6E0,16645_00001445-0016-8931-8368-F8F005C1F6E0,,1
4207,16649,16649_00000061-0016-2913-7741-F8F005C1F5E2,16649_00000258-0016-4334-5587-F8F005C1F5E2,,1
4211,16654,16654_00000016-0016-2992-2701-F8F005C1B624,16654_00000030-0016-3545-1038-F8F005C1B624,,1
4212,16655,16655_00000441-0016-3271-4523-F8F005C1F866,16655_00000445-0016-3294-6635-F8F005C1F866,,1
4216,16660,16660_00000294-0016-4345-1285-F8F005C1CCF8,16660_00000298-0016-4475-0716-F8F005C1CCF8,,1
4229,1668,1668_00000528-0016-0520-9638-F8F005C1C83A,1668_00000970-0016-8909-8492-F8F005C1C83A,,1
4286,16761,16761_00000339-0016-4059-3649-F8F005C20D06,16761_00000404-0016-7368-9810-F8F005C20D06,,1
4287,16762,16762_00000083-0016-2961-9379-F8F005C20D02,16762_00000635-0016-8833-6896-F8F005C20D02,,1
4290,16767,16767_00000067-0016-3219-7116-F8F005C1FFE0,16767_00000069-0016-3255-9397-F8F005C1FFE0,,1
4291,16768,16768_00000546-0016-3708-8090-F8F005C20FFE,16768_00001109-0016-8409-0613-F8F005C20FFE,,1
4345,16834,16834_00000453-0016-4680-2680-F8F005C210CE,16834_00000478-0016-7312-0121-F8F005C210CE,,1
4347,16837,16837_00000036-0016-4208-0971-F8F005C1FEBD,16837_00000040-0016-4966-7806-F8F005C1FEBD,,1
4375,16871,16871_00000559-0016-5777-1067-F8F005C20435,16871_00000736-0016-6978-8042-F8F005C20435,,1
4376,16872,16872_00000194-0016-3675-5575-F8F005C2137B,16872_00000307-0016-4564-7344-F8F005C2137B,,1
4377,16873,16873_00000131-0016-2878-3066-F8F005C1FBBE,16873_00000158-0016-3437-6395-F8F005C1FBBE,,1
4393,16892,16892_00000239-0016-3418-4344-F8F00529AA4B,16892_00000441-0016-5033-9871-F8F00529AA4B,,1
4398,16897,16897_00000456-0016-4331-2025-F8F005C210ED,16897_00000459-0016-4478-7302-F8F005C210ED,,1
4433,16954,16954_00000188-0016-3796-2998-F8F005C20D82,16954_00000858-0016-8875-9057-F8F005C20D82,,1
4442,16965,16965_00000567-0016-5146-6876-F8F005C1F804,16965_00000789-0016-8836-3426-F8F005C1F804,,1
4450,16972,16972_00000549-0016-3191-1632-F8F005C1B87A,16972_00000587-0016-3366-8031-F8F005C1B87A,,1
4456,16982,16982_00000246-0016-3437-0933-F8F005C209FE,16982_00000572-0016-7039-5121-F8F005C209FE,,1
4482,17017,17017_00000035-0016-2844-4681-F8F005C1B6BF,17017_00000603-0016-8952-7890-F8F005C1B6BF,,1
4528,17073,17073_00000111-0016-2901-4249-F8F005C1CA98,17073_00000386-0016-4402-1893-F8F005C1CA98,,1
4530,17075,17075_00000489-0016-4358-7467-F8F005C20BA9,17075_00000639-0016-5074-8584-F8F005C20BA9,,1
4546,1710,1710_00000311-0016-0340-2923-F8F005C1D809,1710_00000370-0016-0818-8495-F8F005C1D809,,1
4547,17102,17102_00000464-0016-3161-2211-F8F00529A9EC,17102_00001346-0016-7627-6302-F8F00529A9EC,,1
4549,17105,17105_00000762-0016-8175-7199-F8F005C1F765,17105_00000857-0016-8949-1080-F8F005C1F765,,1
4576,17155,17155_00000088-0016-3158-9513-F8F005C21145,17155_00000173-0016-4979-2674-F8F005C21145,,1
4622,17219,17219_00000189-0016-3298-3858-F8F005C1B67E,17219_00000616-0016-8232-8962-F8F005C1B67E,,1
4635,17241,17241_00000679-0016-5512-9682-F8F005C20308,17241_00000683-0016-5563-1484-F8F005C20308,,1
4643,17250,17250_00000720-0016-3476-2660-F8F005C1C5B1,17250_00001679-0016-8317-5471-F8F005C1C5B1,,1
4671,17281,17281_00000391-0016-5060-5304-F8F005C1B8D8,17281_00000403-0016-6513-8900-F8F005C1B8D8,,1
4674,17285,17285_00000096-0016-3620-1387-F8F005C203F6,17285_00000538-0016-8962-5675-F8F005C203F6,,1
4675,17286,17286_00000024-0016-2827-6339-F8F00529A9E4,17286_00000125-0016-3392-2604-F8F00529A9E4,,1
4677,1729,1729_00000420-0016-0923-3020-F8F005C1D753,1729_00000429-0016-1253-0266-F8F005C1D753,,1
4688,17313,17313_00000275-0016-7351-3197-F8F005C1A590,17313_00000648-0016-8961-7975-F8F005C1A590,,1
4729,17381,17381_00000512-0016-3766-7855-F8F005C20A41,17381_00001588-0016-8948-4124-F8F005C20A41,,1
4741,17397,17397_00000667-0016-3016-4704-F8F005C1FA90,17397_00000882-0016-4027-7244-F8F005C1FA90,,1
4757,1743,1743_00000455-0016-0529-8999-F8F00528B1F3,1743_00000469-0016-1407-1833-F8F00528B1F3,,1
4759,1747,1747_00001007-0016-1790-5181-F8F005C1C9FC,1747_00001110-0016-2251-6893-F8F005C1C9FC,,1
4777,17611,17611_00000579-0016-3702-1365-F8F005C20787,17611_00000581-0016-3713-3644-F8F005C20787,,1
4779,17614,17614_00000539-0016-3238-4251-F8F005C207DA,17614_00000764-0016-5871-0502-F8F005C207DA,,1
4810,17668,17668_00000341-0016-3595-3161-F8F005C1F863,17668_00000462-0016-4165-5201-F8F005C1F7FD,,1
4812,17673,17673_00001175-0016-3534-1815-F8F005C1FB09,17673_00001363-0016-8963-2069-F8F005C1FA0D,,1
4813,17676,17676_00000721-0016-3565-7229-F8F005C1F9E8,17676_00001123-0016-5561-8919-F8F005C1F9E8,,1
4815,17679,17679_00000614-0016-4709-1330-F8F005C1B6FA,17679_00000620-0016-4899-5609-F8F005C1B6FA,,1
4828,17701,17701_00000802-0016-3491-5044-F8F005C2089F,17701_00000882-0016-4027-4252-F8F005C2089F,,1
4853,1774,1774_00000610-0016-0801-3145-F8F005C1C711,1774_00001744-0016-8767-2415-F8F005C1C711,,1
4854,17740,17740_00000036-0016-8511-2328-F8F005C21563,17740_00000040-0016-8834-7241-F8F005C21563,,1
4879,17958,17958_00000143-0016-4477-5770-F8F005C1F843,17958_00000162-0016-4907-5847-F8F005C1F843,,1
4928,18063,18063_00000025-0016-3860-8406-F8F005C1F6B1,18063_00000046-0016-4175-1665-F8F005C1F6B1,,1
4937,18079,18079_00000643-0016-3858-9888-F8F005C1FCC0,18079_00002079-0016-8000-9902-F8F005C1F8CE,,1
4938,1808,1808_00001095-0016-2122-5578-F8F005C1C6CA,1808_00002574-0016-8949-2823-F8F005C1C6CA,,1
4939,18082,18082_00000195-0016-4263-0076-F8F00529AA35,18082_00000200-0016-4334-7789-F8F00529AA35,,1
4947,18099,18099_00000221-0016-4861-7101-F8F005C20A67,18099_00000473-0016-8952-1495-F8F005C20A67,,1
4953,18106,18106_00000717-0016-6023-1454-F8F005C1F88A,18106_00000719-0016-6032-8764-F8F005C1F88A,,1
4954,18108,18108_00000423-0016-4849-7100-F8F005C1FC0D,18108_00000557-0016-6848-9799-F8F005C1FC0D,,1
4972,1813,1813_2020-05-14 22:00:00,1813_00000646-0016-1777-3542-F8F005C1C480,,1
5036,18193,18193_00000964-0016-5656-9157-F8F005C206C2,18193_00001637-0016-8841-9585-F8F005C206C2,,1
5048,18205,18205_00000178-0016-4625-1165-F8F005C1C582,18205_00001118-0016-8953-3005-F8F005C1C582,,1
5049,18206,18206_00000338-0016-5005-2732-F8F005C20224,18206_00000756-0016-8836-1303-F8F005C20224,,1
5057,18216,18216_00001376-0016-6884-5334-F8F005C21228,18216_00001749-0016-8698-0527-F8F005C21228,,1
5058,18217,18217_00000453-0016-6179-4343-F8F005C20FE2,18217_00000586-0016-6915-8035-F8F005C20FE2,,1
5062,18224,18224_00000304-0016-4980-1752-F8F005C1F5CE,18224_00000558-0016-8811-9765-F8F005C1F5CE,,1
5065,18227,18227_00000347-0016-4010-3210-F8F005C20960,18227_00000352-0016-4032-6533-F8F005C20960,,1
5086,1825,1825_2020-06-09 03:00:00,1825_00001775-0016-6088-0686-F8F005C1C5E9,,1
5126,18292,18292_00001398-0016-8923-3461-F8F005C20A08,18292_00001401-0016-8950-0471-F8F005C20A08,,1
5137,18303,18303_00000383-0016-3911-7953-F8F005C20F31,18303_00000848-0016-6180-1023-F8F005C20F31,,1
5140,18307,18307_00000749-0016-5786-5421-F8F005C20948,18307_00001389-0016-8949-1924-F8F005C20948,,1
5144,18314,18314_00000084-0016-4280-5810-F8F005C1F4E6,18314_00000139-0016-8750-2760-F8F00528B39F,,1
5152,18322,18322_00000299-0016-4288-9483-F8F005C20D1F,18322_00000569-0016-8768-2523-F8F005C20D1F,,1
5166,18338,18338_00000347-0016-4586-3616-F8F005C213A0,18338_00000764-0016-8905-9597-F8F005C213A0,,1
5167,18339,18339_00000172-0016-4763-9370-F8F005C20AD1,18339_00000191-0016-4922-2941-F8F005C20AD1,,1
5171,18343,18343_00000459-0016-8259-9577-F8F005C1FD0D,18343_00000500-0016-8953-5335-F8F005C1FD0D,,1
5181,18356,18356_00000303-0016-4531-8086-F8F005C202BD,18356_00000733-0016-7419-1671-F8F005C202BD,,1
5183,18359,18359_00000093-0016-4340-6581-F8F005C1B658,18359_00000127-0016-4502-4898-F8F005C1B658,,1
5189,18366,18366_00000329-0016-4007-0668-F8F005C20ACB,18366_00000330-0016-5156-1778-F8F005C20ACB,,1
5201,18386,18386_00000842-0016-4158-9422-F8F005C1FE16,18386_00000876-0016-4559-0914-F8F005C1FE16,,1
5205,1839,1839_2020-05-19 06:00:00,1839_2020-05-25 06:00:00,,1
5209,18394,18394_00000483-0016-4556-1993-F8F005C2000A,18394_00000860-0016-6430-5291-F8F005C2000A,,1
5214,18399,18399_00000384-0016-4124-6599-F8F005C1B80F,18399_00000395-0016-4180-3100-F8F005C1B80F,,1
5240,18425,18425_00000562-0016-4360-5683-F8F005C1F615,18425_00001508-0016-8956-6737-F8F005C1F615,,1
5253,18443,18443_00000665-0016-4667-5355-F8F005C21399,18443_00000916-0016-7346-1031-F8F005C21399,,1
5287,18481,18481_00000514-0016-4245-4280-F8F00528ABA9,18481_00001100-0016-6941-1998-F8F00528ABA9,,1
5289,18483,18483_00000055-0016-4616-4239-F8F005C21496,18483_00000056-0016-4625-4253-F8F005C21496,,1
5299,18495,18495_00000042-0016-6156-8052-F8F005C216E9,18495_00000001-0016-7627-4049-F8F005C3AE56,,1
5302,18498,18498_00000324-0016-4806-8467-F8F005C1F62F,18498_00000349-0016-5100-1023-F8F005C1F62F,,1
5311,18509,18509_00000118-0016-4417-8457-F8F005C211BB,18509_00000327-0016-8351-4396-F8F005C211BB,,1
5322,18523,18523_00000588-0016-5333-8930-F8F005C20319,18523_00000918-0016-8292-4562-F8F005C20319,,1
5375,18605,18605_00000244-0016-4414-7013-F8F005C1D76D,18605_00000260-0016-4484-0136-F8F005C1D76D,,1
5377,18608,18608_00000137-0016-4393-9221-F8F005C1C43A,18608_00000161-0016-4496-6100-F8F005C1C43A,,1
5401,18662,18662_00000622-0016-4505-4657-F8F005C1B8F6,18662_00000639-0016-4580-3169-F8F005C1B8F6,,1
5403,18665,18665_00001487-0016-7565-9766-F8F00528AC7C,,,2
5405,18669,18669_00000233-0016-7394-0947-F8F005C1B75F,,,2
5437,18717,18717_00000155-0016-8335-8250-F8F005C1FB5A,18717_00000183-0016-8922-7766-F8F005C1FB5A,,1
5444,18724,18724_00000585-0016-8950-7023-F8F005C1C6A9,18724_00000586-0016-8954-4068-F8F005C1C6A9,,1
5453,18736,18736_00001876-0016-6860-2572-F8F005C1C99B,18736_00002284-0016-8813-1541-F8F005C1C99B,,1
5476,18814,18814_00000397-0016-6791-0783-F8F005C1CCBB,18814_00000578-0016-7966-8693-F8F005C1CCBB,,1
5483,18907,18907_00000448-0016-6919-5265-F8F005C1A4AD,18907_00000456-0016-7163-6185-F8F005C1A4AD,,1
5499,1901,1901_00001223-0016-3260-4508-F8F005C1D83F,1901_00001714-0016-5783-3127-F8F005C1D83F,,1
5501,19012,19012_00000348-0016-7014-7509-F8F005C20C42,19012_00000377-0016-7657-7440-F8F005C20C42,,1
5508,19023,19023_00000636-0016-5602-0419-F8F005C213E4,19023_00000864-0016-7022-7509-F8F005C213E4,,1
5527,19064,19064_00000236-0016-6047-4934-F8F005C1CC70,19064_00000734-0016-8897-5867-F8F005C1CC70,,1
5540,19078,19078_00000374-0016-5735-5693-F8F005C2033D,19078_00000521-0016-8442-2200-F8F005C2033D,,1
5541,19079,19079_00000849-0016-5690-7708-F8F005C1F58B,19079_00001119-0016-8922-1169-F8F005C1F58B,,1
5542,19080,19080_00000923-0016-6110-4033-F8F005C2140B,19080_00000668-0016-8961-9289-F8F00528AB74,,1
5544,19082,19082_00001983-0016-5708-1741-F8F005C21131,19082_00003438-0016-8957-2683-F8F005C21131,,1
5567,19105,19105_00001166-0016-5526-8605-F8F005C2065F,19105_00002492-0016-8585-7078-F8F005C2065F,,1
5583,19122,19122_00000806-0016-5402-2292-F8F005C1C8ED,19122_00001102-0016-8037-8376-F8F005C1C8ED,,1
5589,19129,19129_00003082-0016-8783-5596-F8F005C1D838,19129_00003142-0016-8956-2186-F8F005C1D838,,1
5645,19204,19204_00000014-0016-6662-0262-F8F005C211B2,19204_00000137-0016-7656-1376-F8F005C211B2,,1
5663,19222,19222_00001141-0016-6128-7318-F8F005C1CC7D,19222_00001388-0016-8893-6182-F8F005C1CC7D,,1
5709,19282,19282_00000726-0016-7648-0594-F8F005C1FB8B,19282_00001198-0016-8926-7932-F8F005C1FB8B,,1
5716,19296,19296_00001757-0016-6025-1417-F8F005C1C725,19296_00001763-0016-6060-0676-F8F005C1C725,,1
5726,19311,19311_00002318-0016-8122-2039-F8F005C1FD4A,19311_00002513-0016-8943-0652-F8F005C1FD4A,,1
5728,19316,19316_00000680-0016-6064-7828-F8F005C1C5D5,19316_00000810-0016-8526-7385-F8F005C1C5D5,,1
5730,19318,19318_00001321-0016-8919-5389-F8F005C1C3EB,19318_00001326-0016-8949-2249-F8F005C1C3EB,,1
5759,19349,19349_00000701-0016-5653-7985-F8F005C20CD8,19349_00000707-0016-5895-5595-F8F005C20CD8,,1
5783,19390,19390_00000377-0016-6425-0690-F8F005C1A49C,19390_00000612-0016-8730-8897-F8F005C1A49C,,1
5789,19408,19408_00001252-0016-6442-6277-F8F005C20AE1,19408_00001437-0016-7117-3145-F8F005C20AE1,,1
5843,19530,19530_00000861-0016-6303-9523-F8F005C1C48B,19530_00000880-0016-6850-8410-F8F005C1C48B,,1
5870,19573,19573_00001240-0016-6022-0498-F8F005C20524,19573_00001564-0016-7466-0062-F8F005C20524,,1
5874,19578,19578_00000383-0016-7545-9883-F8F005C1FE77,19578_00000744-0016-8962-2665-F8F005C1FE77,,1
5877,19580,19580_00000825-0016-7220-5418-F8F005C1C57F,19580_00000833-0016-7274-1758-F8F005C1C57F,,1
5881,19585,19585_00000758-0016-8465-6474-F8F005C1A726,19585_00000872-0016-8957-3536-F8F005C1A726,,1
5894,19600,19600_00000104-0016-5999-7272-F8F005C1B5EE,19600_00000120-0016-6065-6221-F8F005C1B5EE,,1
5935,19654,19654_00001437-0016-6114-7980-F8F005C1FB7E,19654_00000187-0016-8409-2807-F8F005C21E86,,1
6022,1978,1978_00000602-0016-5920-0336-F8F005C20ED0,1978_00001272-0016-8910-1122-F8F005C20ED0,,1
6030,19797,19797_00000168-0016-6931-4362-F8F005C220AF,19797_00000299-0016-8545-6554-F8F005C220AF,,1
6037,19806,19806_00000008-0016-6255-7060-F8F005C21EDB,19806_00001071-0016-7941-1602-F8F005C20854,,1
6048,19821,19821_00000341-0016-7643-9861-F8F005C20D0A,19821_00000614-0016-8957-0313-F8F005C20D0A,,1
6050,19823,19823_00000063-0016-6618-3314-F8F005C201B2,19823_00000254-0016-8954-9981-F8F005C3ADB1,,1
6055,19832,19832_00000519-0016-6244-7393-F8F005C1FDDB,19832_00000734-0016-7232-2813-F8F005C1FDDB,,1
6060,19837,19837_00001072-0016-6271-8823-F8F005C1CC12,19837_00001179-0016-7007-8715-F8F005C1CC12,,1
6065,19846,19846_00000063-0016-6489-3729-F8F005C2156D,19846_00000196-0016-7076-7444-F8F005C2156D,,1
6080,19874,19874_00000209-0016-8070-7357-F8F005C21765,19874_00000276-0016-8822-8367-F8F005C21765,,1
6090,19891,19891_00000002-0016-6200-7922-F8F005C22305,19891_00000037-0016-7704-3701-F8F005C22305,,1
6091,19893,19893_00000012-0016-6271-1182-F8F005C21B77,19893_00000015-0016-7157-3034-F8F005C21B77,,1
6097,19908,19908_00000014-0016-6325-4126-F8F005C22300,19908_00000060-0016-8874-3306-F8F005C22300,,1
6115,19943,19943_00000054-0016-6954-5954-F8F005C2214D,19943_00000106-0016-7533-1258-F8F005C2214D,,1
6129,19966,19966_00000005-0016-6299-8103-F8F005C2165A,19966_00000104-0016-8952-7320-F8F005C2165A,,1
6136,19982,19982_00000181-0016-7693-7344-F8F005C216D8,19982_00000353-0016-8960-9929-F8F005C216D8,,1
6142,19993,19993_00000165-0016-7789-2854-F8F005C21769,19993_00000297-0016-8917-6273-F8F005C21769,,1
6144,19996,19996_00000011-0016-6502-0390-F8F005C218C4,19996_00000033-0016-7152-1123-F8F005C218C4,,1
6150,20007,20007_00000026-0016-6564-2301-F8F005C21ED3,20007_00000069-0016-8381-0813-F8F005C21ED3,,1
6155,20013,20013_00000012-0016-6320-5116-F8F005C39EF1,20013_00000060-0016-7436-9362-F8F005C39F1E,,1
6180,20043,20043_00000016-0016-5224-5951-F8F005C22140,20043_00000114-0016-7568-6018-F8F005C22140,,1
6188,20059,20059_00000064-0016-8905-1774-F8F005C3C911,20059_00000071-0016-8941-2774-F8F005C3C911,,1
6194,20070,20070_00000068-0016-7469-1242-F8F005C22256,20070_00000073-0016-8042-4428-F8F005C22256,,1
6201,20087,20087_00000100-0016-6734-2958-F8F005C20045,20087_00000154-0016-7511-8895-F8F005C20045,,1
6202,20089,20089_00000009-0016-6347-5974-F8F005C39F02,20089_00000013-0016-6533-8590-F8F005C39F02,,1
6211,20104,20104_00000055-0016-6671-2245-F8F005C219C3,20104_00000274-0016-8687-2371-F8F005C219C3,,1
6215,20115,20115_00001897-0016-6344-6207-F8F005C1FE70,20115_00002117-0016-8011-7468-F8F005C1FE70,,1
6228,20134,20134_00000255-0016-7319-1820-F8F005C2007A,20134_00000357-0016-8899-6744-F8F005C2007A,,1
6304,20240,20240_00000145-0016-7700-7863-F8F005C1CAD6,20240_00000152-0016-8625-6699-F8F005C1CAD6,,1
6321,20260,20260_00000166-0016-8020-9301-F8F005C20818,20260_00000231-0016-8893-7462-F8F005C20818,,1
6356,20304,20304_00000491-0016-8067-5149-F8F005C20338,20304_00000527-0016-8723-6337-F8F005C20338,,1
6361,20309,20309_00000097-0016-7096-1643-F8F005C1FEB3,20309_00000217-0016-7778-7687-F8F005C1FEB3,,1
6369,20319,20319_00000736-0016-8352-9885-F8F005C1FB3D,20319_00000852-0016-8896-9018-F8F005C1FB3D,,1
6396,20353,20353_00000258-0016-8081-5411-F8F005C20D26,20353_00000378-0016-8758-9853-F8F005C20D26,,1
6400,20358,20358_00000340-0016-7719-2531-F8F005C2025D,20358_00000473-0016-8923-8492-F8F005C2025D,,1
6401,20359,20359_00000707-0016-6891-3618-F8F005C205A1,20359_00000946-0016-8934-7463-F8F005C205A1,,1
6432,2040,2040_00001149-0016-8015-7814-F8F005C1C819,2040_00001196-0016-8262-3083-F8F005C1C819,,1
6452,20421,20421_00000850-0016-8729-2420-F8F005C1B438,20421_00000863-0016-8861-8996-F8F005C1B438,,1
6456,20427,20427_00000289-0016-7472-5466-F8F005C20BB2,20427_00000290-0016-7515-8030-F8F005C20BB2,,1
6470,20442,20442_00000089-0016-7471-0515-F8F005C21302,20442_00000265-0016-8923-0857-F8F005C21302,,1
6474,20448,20448_00000938-0016-7756-3970-F8F005C1C686,20448_00000998-0016-8196-6225-F8F005C1C686,,1
6480,20455,20455_00002170-0016-7313-6125-F8F005C19B09,20455_00002510-0016-8220-2815-F8F005C19B09,,1
6485,20461,20461_00000357-0016-7437-4084-F8F005C1FFAE,20461_00000669-0016-8913-5545-F8F005C1FFAE,,1
6502,20491,20491_00000012-0016-7996-2888-F8F005C220EE,20491_00000014-0016-8174-5146-F8F005C220EE,,1
6562,20631,20631_00001042-0016-8342-4745-F8F005C1F6C8,20631_00001121-0016-8947-5656-F8F005C1F6C8,,1
6587,2073,2073_00001577-0016-4452-8589-F8F005C1CA16,2073_00002613-0016-8962-1559-F8F005C1CA16,,1
6597,20870,20870_00001442-0016-8749-4162-F8F005C210E9,20870_00001489-0016-8963-3003-F8F005C210E9,,1
6656,20988,20988_00000146-0016-8061-0175-F8F005C219E1,20988_00000347-0016-8839-1126-F8F005C21554,,1
6688,21192,21192_00000019-0016-8402-9749-F8F005C21609,21192_00000050-0016-8683-8364-F8F005C21609,,1
6729,21351,21351_00000406-0016-8881-5042-F8F00529AA91,21351_00000420-0016-8949-5738-F8F00529AA91,,1
6745,2149,2149_2020-05-09 20:00:00,2149_2020-05-21 20:00:00,,1
6748,2157,2157_2020-05-22 06:00:00,2157_2020-06-12 03:00:00,,1
6749,2158,2158_00000282-0016-6742-7896-F8F005C1D859,2158_00000378-0016-8811-2067-F8F005C1D859,,1
6769,2215,2215_2020-06-02 21:00:00,2215_00002554-0016-8939-7631-F8F005C1D866,,1
6793,2262,2262_00000624-0016-4241-8655-F8F005C1C7B5,2262_00001039-0016-8930-9280-F8F005C1C7B5,,1
6815,2305,2305_00001396-0016-3388-3299-F8F005C1C5A8,2305_00002219-0016-8175-6352-F8F005C1C5A8,,1
6821,2316,2316_00000746-0016-0633-7455-F8F005C1C606,2316_00001115-0016-2248-2189-F8F005C1C606,,1
6853,2374,2374_2020-05-08 21:00:00,2374_2020-05-17 10:00:00,,1
6884,2447,2447_00000100-0016-6477-8554-F8F005C1C476,2447_00000631-0016-8962-2548-F8F005C1C476,,1
6888,2459,2459_00000136-0016-0914-8391-F8F005C1F6FB,2459_00000257-0016-1527-2856-F8F005C1F6FB,,1
